Sector_score,PARA_A,Score_A,Risk_A,PARA_B,Score_B,Risk_B,TOTAL,numbers,Score_B.1,Risk_C,Money_Value,Score_MV,District_Loss,PROB,RiSk_E,History,Prob,Risk_F,Score,Inherent_Risk,CONTROL_RISK,Audit_Risk,Risk,Marks,MONEY_Marks,Loss,LOSS_SCORE,History_score,T_Risk
3.89,4.18,0.6,2.508,2.5,0.2,0.5,6.68,5,0.2,1,3.38,0.2,2,0.2,0.4,0,0.2,0,2.4,8.574,0.4,1.7148,1,2,2,0,2,2,1
3.89,0,0.2,0,4.83,0.2,0.966,4.83,5,0.2,1,0.94,0.2,2,0.2,0.4,0,0.2,0,2,2.554,0.4,0.5108,0,2,2,0,2,2,0
3.89,0.51,0.2,0.102,0.23,0.2,0.046,0.74,5,0.2,1,0,0.2,2,0.2,0.4,0,0.2,0,2,1.548,0.4,0.3096,0,2,2,0,2,2,0
3.89,0,0.2,0,10.8,0.6,6.48,10.8,6,0.6,3.6,11.75,0.6,2,0.2,0.4,0,0.2,0,4.4,17.53,0.4,3.506,1,6,6,0,2,2,1
3.89,0,0.2,0,0.08,0.2,0.016,0.08,5,0.2,1,0,0.2,2,0.2,0.4,0,0.2,0,2,1.416,0.4,0.2832,0,2,2,0,2,2,0
3.89,0,0.2,0,0.83,0.2,0.166,0.83,5,0.2,1,2.95,0.2,2,0.2,0.4,0,0.2,0,2,2.156,0.4,0.4312,0,2,2,0,2,2,0
3.89,1.1,0.4,0.44,7.41,0.4,2.964,8.51,5,0.2,1,44.95,0.6,2,0.2,0.4,0,0.2,0,3.2,31.774,0.4,6.3548,1,2,6,0,2,2,1
3.89,8.5,0.6,5.1,12.03,0.6,7.218,20.53,5.5,0.4,2.2,7.79,0.4,2,0.2,0.4,0,0.2,0,4.2,18.034,0.4,3.6068,1,4,4,0,2,2,1
3.89,8.4,0.6,5.04,11.05,0.6,6.63,19.45,5.5,0.4,2.2,7.34,0.4,2,0.2,0.4,0,0.2,0,4.2,17.206,0.4,3.4412,1,4,4,0,2,2,1
3.89,3.98,0.6,2.388,0.99,0.2,0.198,4.97,5,0.2,1,1.93,0.2,2,0.2,0.4,0,0.2,0,2.4,4.372,0.4,0.8744,0,2,2,0,2,2,1
3.89,5.43,0.6,3.258,10.77,0.6,6.462,16.2,5,0.2,1,4.42,0.2,2,0.2,0.4,0,0.2,0,3.6,12.004,0.4,2.4008,1,2,2,0,2,2,1
3.89,15.38,0.6,9.228,40.14,0.6,24.084,55.52,5,0.2,1,0.96,0.2,2,0.4,0.8,1,0.4,0.4,4,35.704,1.2,21.4224,1,2,2,1,4,4,1
3.89,5.47,0.6,3.282,7.63,0.4,3.052,13.1,5,0.2,1,10.43,0.6,2,0.2,0.4,1,0.4,0.4,3.6,14.392,0.8,5.7568,1,2,6,0,2,4,1
3.89,1.09,0.4,0.436,0.35,0.2,0.07,1.44,5,0.2,1,0,0.2,2,0.2,0.4,0,0.2,0,2.2,1.906,0.4,0.3812,0,2,2,0,2,2,1
3.89,0,0.2,0,0.84,0.2,0.168,0.84,5,0.2,1,0.007,0.2,2,0.2,0.4,0,0.2,0,2,1.5694,0.4,0.31388,0,2,2,0,2,2,0
3.89,1.95,0.4,0.78,9.01,0.4,3.604,10.96,5,0.2,1,9,0.4,2,0.2,0.4,0,0.2,0,3,9.384,0.4,1.8768,1,2,4,0,2,2,1
3.89,8.54,0.6,5.124,31.63,0.6,18.978,40.17,5,0.2,1,41.28,0.6,2,0.2,0.4,1,0.4,0.4,4.2,50.67,0.8,20.268,1,2,6,0,2,4,1
3.89,4.18,0.6,2.508,4.83,0.2,0.966,9.01,5.5,0.4,2.2,14.03,0.6,2,0.2,0.4,0,0.2,0,3.2,14.492,0.4,2.8984,1,4,6,0,2,2,1
3.89,1.81,0.4,0.724,1.03,0.2,0.206,2.84,5,0.2,1,0,0.2,2,0.2,0.4,0,0.2,0,2.2,2.33,0.4,0.466,0,2,2,0,2,2,1
3.89,4.86,0.6,2.916,46.78,0.6,28.068,51.64,5.5,0.4,2.2,63.18,0.6,2,0.2,0.4,0,0.2,0,4.4,71.492,0.4,14.2984,1,4,6,0,2,2,1
3.89,6.26,0.6,3.756,14.1,0.6,8.46,20.36,5,0.2,1,34.24,0.6,2,0.2,0.4,1,0.4,0.4,4.2,34.56,0.8,13.824,1,2,6,0,2,4,1
3.89,0.02,0.2,0.004,5.94,0.4,2.376,5.96,5,0.2,1,0.01,0.2,2,0.2,0.4,0,0.2,0,2.6,3.782,0.4,0.7564,0,2,2,0,2,2,1
3.89,5.31,0.6,3.186,22.79,0.6,13.674,28.1,5,0.2,1,205.19,0.6,2,0.2,0.4,1,0.4,0.4,4.2,141.774,0.8,56.7096,1,2,6,0,2,4,1
3.89,0.94,0.2,0.188,0.01,0.2,0.002,0.95,5,0.2,1,0.1,0.2,2,0.2,0.4,0,0.2,0,2,1.61,0.4,0.322,0,2,2,0,2,2,0
3.89,5.78,0.6,3.468,57.92,0.6,34.752,63.7,5,0.2,1,11.16,0.6,2,0.2,0.4,0,0.2,0,4,46.316,0.4,9.2632,1,2,6,0,2,2,1
3.89,7.42,0.6,4.452,2.24,0.2,0.448,9.66,5,0.2,1,1.25,0.2,2,0.2,0.4,0,0.2,0,2.4,6.55,0.4,1.31,1,2,2,0,2,2,1
